TrialId,Product name,Vaccine status,WHO review,Description,Developers,Highest Development Phase,Species,Life cycle,Antigen,Platform,Adjuvant,Route of administration,Trial status,Trial phase,Trial sites,Trial end year,CHMI site,Registry ID,Link to trial
1,Ad35.CS.01,Inactive,,"Immunogenicity, safety, and reactogenicity of Ad35.CS.01 in Burkinabè, semi-immune, healthy adults 18 to 45 years",US National Institute of Allergy and Infectious Diseases (NIAID),Phase I,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant viral vector,,Intramuscular,Completed,Phase I,Burkina Faso,2011,No,NCT01018459,https://clinicaltrials.gov/ct2/show/NCT01018459
2,Ad35.CS.01,Inactive,,"Dose-escalation trial on immunogenicity, safety, and reactogenicity of Ad35.CS.01 in healthy US adults",US National Institute of Allergy and Infectious Diseases (NIAID),Phase I,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant viral vector,,Parenteral,Completed,Phase I,United States,2014,No,NCT00371189,https://clinicaltrials.gov/ct2/show/NCT00371189
3,Ad35.CS.01 + Ad26.CS.01,Inactive,,"Dose-escalation study evaluating safety, tolerability, immunogenicity, and protective efficacy of Ad35.CS.01 and Ad26.CS.01 as heterologous prime-boost regimen",Crucell; PATH; Seattle Children's Research Institute,Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant viral vector,,Parenteral,Completed,Phase I/IIa,United States,2012,Yes,NCT01397227,https://clinicaltrials.gov/ct2/show/NCT01397227
4,"Ad35.CS.01 + RTS,S/AS01E",Inactive,,"Heterologous prime boost - 1 dose of Ad35.CS.01 vaccine, followed by 2 doses RTS,S/AS01E","GlaxoSmithKline (GSK), PATH; Crucell",Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle,Recombinant viral vector",AS01E,Intramuscular,Completed,Phase II,United States,2012,Yes,NCT01366534,https://clinicaltrials.gov/ct2/show/NCT01366534
5,BK-SE36,Inactive,,Phase 1a of BK-SE36 in Japan,Osaka University,Phase I,P. falciparum,Blood stage,PfSERA5,Recombinant subunit,,Subcutaneous,Completed,Phase I,Japan,2005,No,ISRCTN78679862,https://trialsearch.who.int/Trial2.aspx?TrialID=ISRCTN78679862
6,BK-SE36/Alhydrogel,Inactive,,Phase 1b of BK-SE36 in Uganda,Nobelpharma; Osaka University; European Vaccine Initiative (EVI),Phase I,P. falciparum,Blood stage,PfSERA5,Recombinant subunit,Alhydrogel,Parenteral,Completed,Phase I,Uganda,2010,No,ISRCTN71619711,https://trialsearch.who.int/Trial2.aspx?TrialID=ISRCTN71619711
7,BK-SE36/Alhydrogel,Inactive,,"Phase 1b age de-escalation study of BK-SE36/Alhydrogel, subcutaneously or intramuscularly, in healthy malaria exposed African children living in Burkina Faso","Nobelpharma; Osaka University; European Vaccine Initiative (EVI); Centre National de Recherche et de Formation sur la Paludisme, Burkina Faso",Phase I,P. falciparum,Blood stage,PfSERA5,Recombinant subunit,Alhydrogel,Intramuscular; Subcutaneous,Completed,Phase I,Burkina Faso,2017,No,PACTR201411000934120,https://trialsearch.who.int/Trial2.aspx?TrialID=PACTR201411000934120
8,BK-SE36/CpG,Active,,Age de-escalation study of BK-SE36/CpG intramuscularly in healthy malaria exposed African adults and children living in Burkina Faso,"Nobelpharma; Osaka University; European Vaccine Initiative (EVI); Centre National de Recherche et de Formation sur la Paludisme, Burkina Faso",Phase I,P. falciparum,Blood stage,PfSERA5,Recombinant subunit,CpG,Intramuscular,Completed,Phase I,Burkina Faso,2020,No,PACTR201701001921166,https://trialsearch.who.int/Trial2.aspx?TrialID=PACTR201701001921166
9,BK-SE36/CpG,Active,,Safety and immunogenicity of BK-SE36/CpG in healthy Japanese adult males,Osaka University,Phase I,P. falciparum,Blood stage,PfSERA5,Recombinant subunit,CpG,Intramuscular,Completed,Phase I,Japan,,No,JPRN-JMA-IIA00109,https://trialsearch.who.int/Trial2.aspx?TrialID=JPRN-JMA-IIA00109
10,BK-SE36/CpG,Active,,Immunological response to BK-SE36/CpG,"National Institutes of Biomedical Innovation, Health and Nutrition",Phase I,P. falciparum,Blood stage,PfSERA5,Recombinant subunit,CpG,Intramuscular,Completed,Phase I,Japan,,No,JPRN-UMIN000012980,https://trialsearch.who.int/Trial2.aspx?TrialID=JPRN-UMIN000012980
